GeneID	pearson_corr	Best.hit.arabi.name	arabi.symbol	arabi.defline
Sobic.002G152600	0.936820822	AT2G42210.4	"ATOEP16-3,OEP16-3"	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
Sobic.003G195500	0.936766848	AT3G13870.1	RHD3	Root hair defective 3 GTP-binding protein (RHD3)
Sobic.005G059100	0.936717423	AT5G46550.1		DNA-binding bromodomain-containing protein
Sobic.003G201900	0.9363684	AT1G17130.1		Family of unknown function (DUF572) 
Sobic.004G082900	0.936232373	AT1G45000.1		AAA-type ATPase family protein
Sobic.005G033300	0.93599033	AT5G17900.1		microfibrillar-associated protein-related
Sobic.006G173100	0.935721007	AT1G60170.1	emb1220	pre-mRNA processing ribonucleoprotein binding region-containing protein
Sobic.001G518100	0.935681602	AT1G20670.1		DNA-binding bromodomain-containing protein
Sobic.003G150800	0.93566386	AT4G01800.1	"AGY1,AtcpSecA"	Albino or Glassy Yellow 1
Sobic.010G267700	0.935579153	AT1G75820.1	"ATCLV1,CLV1,FAS3,FLO5"	Leucine-rich receptor-like protein kinase family protein
Sobic.002G388500	0.935548081	AT5G16780.1	"DOT2,MDF"	SART-1 family
Sobic.010G184300	0.935129323	AT5G39990.1		"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Sobic.004G351600	0.93473599			
Sobic.006G052800	0.934064707	AT5G65750.1		"2-oxoglutarate dehydrogenase, E1 component"
Sobic.004G146500	0.933897628	AT3G14010.2	CID4	CTC-interacting domain 4
Sobic.007G146900	0.933719945	AT3G43240.1		ARID/BRIGHT DNA-binding domain-containing protein
Sobic.001G361300	0.93351734	AT2G41140.1	"ATCBK3,ATCRK1,CRK1"	CDPK-related kinase 1
Sobic.009G005500	0.93316163	AT2G19390.1		
Sobic.001G350900	0.932877448	AT1G78280.1		"transferases, transferring glycosyl groups"
Sobic.010G078900	0.932595204	AT4G08350.1	"GTA02,GTA2"	global transcription factor group A2
Sobic.007G006900	0.932419662	AT1G43860.1		sequence-specific DNA binding transcription factors
Sobic.002G072000	0.932246072	AT3G07040.1	"RPM1,RPS3"	NB-ARC domain-containing disease resistance protein
Sobic.009G182600	0.931759394	AT1G65440.2	GTB1	global transcription factor group B1
Sobic.003G072200	0.931432202	AT5G02310.1	PRT6	proteolysis 6
Sobic.003G059750	0.931304666	AT5G49430.1		WD40/YVTN repeat-like-containing domain;Bromodomain
Sobic.009G135600	0.931276305	AT2G26920.1		Ubiquitin-associated/translation elongation factor EF1B protein
Sobic.007G059900	0.931194255	AT1G34220.2		Regulator of Vps4 activity in the MVB pathway protein
Sobic.006G134400	0.931131859	AT3G59800.1		
Sobic.004G018200	0.93069119	AT4G36020.1	CSDP1	cold shock domain protein 1
Sobic.003G388000	0.930633552	AT2G20000.1	"CDC27b,HBT"	CDC27  family protein
Sobic.002G068100	0.93063213	AT1G18950.1		DDT domain superfamily
Sobic.002G314900	0.930576819	AT5G55060.1		
Sobic.001G542500	0.930378672	AT2G36850.1	"ATGSL08,ATGSL8,CHOR,GSL08,GSL8"	glucan synthase-like 8
Sobic.003G008500	0.930230503	AT4G32760.2		ENTH/VHS/GAT family protein
Sobic.005G045300	0.930136605	AT2G15900.1		"Phox-associated domain;Phox-like;Sorting nexin, C-terminal"
Sobic.004G023900	0.930028776	AT4G13430.1	"ATLEUC1,IIL1"	isopropyl malate isomerase large subunit 1
Sobic.010G086600	0.92955379	AT5G45190.1		Cyclin family protein
Sobic.010G086600	0.92955379	AT5G45190.2		Cyclin family protein
Sobic.010G012300	0.92900772	AT5G17210.1		Protein of unknown function (DUF1218)
Sobic.002G348600	0.928622577	AT1G20110.1		RING/FYVE/PHD zinc finger superfamily protein
Sobic.010G083700	0.928612936	AT1G49590.1		C2H2 and C2HC zinc fingers superfamily protein
Sobic.003G109500	0.928541931	AT1G24265.2		Protein of unknown function (DUF1664)
Sobic.002G071500	0.928394577	AT3G11960.1		Cleavage and polyadenylation specificity factor (CPSF) A subunit protein
Sobic.002G009800	0.928246671	AT5G61150.1	VIP4	leo1-like family protein
Sobic.005G198100	0.928053181	AT4G15030.1		
Sobic.003G043200	0.927875115	AT2G25660.1	emb2410	embryo defective 2410
Sobic.001G457000	0.927772141	AT2G33040.1	ATP3	gamma subunit of Mt ATP synthase
Sobic.005G158300	0.927768351	AT3G60300.1		RWD domain-containing protein
Sobic.006G239400	0.927743701	AT5G10790.1	UBP22	ubiquitin-specific protease 22
Sobic.003G108700	0.927595359	AT3G23900.3		RNA recognition motif (RRM)-containing protein
Sobic.003G108700	0.927595359	AT3G23900.1		RNA recognition motif (RRM)-containing protein
Sobic.003G123000	0.927355267	AT1G14650.1		SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / ubiquitin family protein
Sobic.003G179100	0.927140797	AT1G44910.1	"ATPRP40A,PRP40A"	pre-mRNA-processing protein 40A
Sobic.001G287800	0.926869839	AT4G17890.1	AGD8	ARF-GAP domain 8
Sobic.009G085200	0.926851003	AT1G67280.1		Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein
Sobic.007G063000	0.926839867	AT1G50410.1		SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
Sobic.004G336300	0.926802344	AT1G60070.1		"Adaptor protein complex AP-1, gamma subunit"
Sobic.004G316700	0.926715636	AT1G72650.1	TRFL6	TRF-like 6
Sobic.010G130000	0.92580857	AT4G26750.1		hydroxyproline-rich glycoprotein family protein
Sobic.001G414000	0.925347207	AT3G46290.1	HERK1	hercules receptor kinase 1
Sobic.003G416700	0.925137735	AT4G02560.2	LD	Homeodomain-like superfamily protein
Sobic.010G201500	0.924883019	AT1G21580.1		Zinc finger C-x8-C-x5-C-x3-H type family protein
Sobic.004G101900	0.924566455	AT3G58750.1	CSY2	citrate synthase 2
Sobic.003G155100	0.924462528	AT3G06670.1		binding
Sobic.003G173600	0.923850348	AT4G16144.1	AMSH3	associated molecule with the SH3 domain of STAM 3
Sobic.004G283000	0.92372313	AT5G51980.1		Transducin/WD40 repeat-like superfamily protein
Sobic.003G395600	0.923706984	AT3G19640.1	"MGT4,MRS2-3"	magnesium transporter 4
Sobic.001G009300	0.923633735	AT4G04860.1	DER2.2	DERLIN-2.2
Sobic.009G183000	0.92363326			
Sobic.009G260650	0.923111192	AT2G35890.1	CPK25	calcium-dependent protein kinase 25
Sobic.002G211800	0.923110771	AT3G43240.1		ARID/BRIGHT DNA-binding domain-containing protein
Sobic.002G067800	0.923094637	AT5G62640.1	ELF5	proline-rich family protein
Sobic.001G230000	0.922967862	AT1G08600.3	"ATRX,CHR20"	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Sobic.003G264100	0.922841651	AT5G41360.1	"ATXPB2,XPB2"	homolog of Xeroderma pigmentosum complementation group B 2
Sobic.002G137200	0.922445386	AT4G25610.1		C2H2-like zinc finger protein
Sobic.009G040600	0.922108639	AT3G06010.1	ATCHR12	Homeotic gene regulator
Sobic.001G363500	0.921873546	AT3G21430.2	"ALY3,ATALY3"	DNA binding
Sobic.005G030300	0.921606331	AT1G55170.1		
Sobic.001G374000	0.921532983	AT2G47830.1		Cation efflux family protein
Sobic.009G105800	0.921454067	AT3G20550.1	DDL	SMAD/FHA domain-containing protein 
Sobic.003G305200	0.92138514	AT5G08030.1		PLC-like phosphodiesterases superfamily protein
Sobic.003G205200	0.921316874	AT2G25730.2		
Sobic.003G038500	0.921252543	AT3G28730.1	"ATHMG,HMG,NFD,SSRP1"	high mobility group
Sobic.006G019300	0.921242409	AT5G67320.1	HOS15	WD-40 repeat family protein
Sobic.001G534700	0.92122244	AT2G16485.1		nucleic acid binding;zinc ion binding;DNA binding
Sobic.010G232700	0.921103741	AT1G03540.1		Pentatricopeptide repeat (PPR-like) superfamily protein
Sobic.009G011400	0.920945098	AT5G59410.1		Rab5-interacting family protein
Sobic.002G112700	0.920938073	AT1G55090.1		carbon-nitrogen hydrolase family protein
Sobic.001G035500	0.920915906	AT3G53540.1		
Sobic.007G222900	0.920669319	AT5G55670.1		RNA-binding (RRM/RBD/RNP motifs) family protein
Sobic.010G021100	0.920585598	AT1G01940.1		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Sobic.001G472500	0.920319971	AT5G53940.1		Yippee family putative zinc-binding protein
Sobic.010G043800	0.920311725	AT1G73170.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
Sobic.003G014500	0.920251723	AT5G03280.1	"ATEIN2,CKR1,EIN2,ERA3,ORE2,ORE3,PIR2"	NRAMP metal ion transporter family protein
Sobic.001G349700	0.920171633	AT4G00120.1	"EDA33,GT140,IND,IND1"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Sobic.004G343300	0.92014427	AT5G37360.1		
Sobic.005G034700	0.919774633	AT5G35210.2		metalloendopeptidases;zinc ion binding;DNA binding
Sobic.004G276400	0.919573439	AT3G12810.1	"chr13,PIE1,SRCAP"	SNF2 domain-containing protein / helicase domain-containing protein
Sobic.009G027300	0.919522368	AT3G52250.1		Duplicated homeodomain-like superfamily protein
Sobic.004G237100	0.919323993	AT3G20840.1	PLT1	Integrase-type DNA-binding superfamily protein
Sobic.001G313700	0.919283485			
Sobic.008G116600	0.919085858	AT3G30841.1		Cofactor-independent phosphoglycerate mutase
Sobic.002G248400	0.918875244	AT5G13020.1		Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Sobic.002G308700	0.918859936	AT5G44800.1	"CHR4,PKR1"	chromatin remodeling 4
Sobic.003G073000	0.918779169	AT1G32130.1	"ATIWS1,IWS1"	Transcription elongation factor (TFIIS) family protein
Sobic.004G213800	0.918315553	AT2G25320.1		TRAF-like family protein
Sobic.004G048800	0.91826448	AT3G46960.1		"RNA helicase, ATP-dependent, SK12/DOB1 protein"
Sobic.010G095700	0.918171719	AT3G12760.1		
Sobic.001G111600	0.918039564	AT1G73460.1		Protein kinase superfamily protein
Sobic.002G051700	0.917949737	AT1G03070.2		Bax inhibitor-1 family protein
Sobic.004G202300	0.91792324	AT3G26400.1	EIF4B1	eukaryotic translation initiation factor 4B1
Sobic.010G138500	0.917757403	AT4G32300.1	SD2-5	S-domain-2 5
Sobic.008G129700	0.917545946	AT1G56460.2		HIT zinc finger ;PAPA-1-like conserved region
Sobic.003G284000	0.917503495	AT3G01090.2	"AKIN10,KIN10,SNRK1.1"	SNF1 kinase homolog 10
Sobic.004G030700	0.917376358	AT2G40630.1		Uncharacterised conserved protein (UCP030365)
Sobic.008G127400	0.917200895			
Sobic.001G542400	0.917085305	AT1G02080.2		transcription regulators
Sobic.006G088100	0.916970315	AT2G27285.1		Coiled-coil domain-containing protein 55 (DUF2040)
Sobic.007G183900	0.916963414	AT5G42220.1		Ubiquitin-like superfamily protein
Sobic.003G272700	0.916426185	AT1G73020.2		
Sobic.001G220300	0.916400031	AT5G28850.2		Calcium-binding EF-hand family protein
Sobic.001G111850	0.916346361			
Sobic.010G204400	0.91628801	AT4G32160.1		Phox (PX) domain-containing protein
Sobic.007G111100	0.916223607	AT1G19080.1	"PSF3,TTN10"	GINS complex protein
Sobic.007G111100	0.916223607	AT1G19080.2	"PSF3,TTN10"	GINS complex protein
Sobic.002G186000	0.916081644	AT5G09390.1		CD2-binding protein-related
Sobic.004G040500	0.916035308	AT4G31570.1		
Sobic.004G311100	0.915761528	AT5G09650.1	"AtPPa6,PPa6"	pyrophosphorylase 6
Sobic.006G167600	0.915533593	AT1G65280.1		DNAJ heat shock N-terminal domain-containing protein
Sobic.009G166100	0.915414041	AT5G02950.1		Tudor/PWWP/MBT superfamily protein
Sobic.003G233700	0.915096556	AT5G14260.3		Rubisco methyltransferase family protein
Sobic.004G233200	0.914950799	AT4G39780.1		Integrase-type DNA-binding superfamily protein
Sobic.005G211301	0.914931812			
Sobic.003G422500	0.914871233	AT2G19390.1		
Sobic.007G130600	0.914861222	AT4G34030.1	MCCB	3-methylcrotonyl-CoA carboxylase
Sobic.001G082000	0.914641455	AT5G22480.1		ZPR1 zinc-finger domain protein
Sobic.004G279100	0.914618794	AT2G17290.1	"ATCDPK3,ATCPK6,CPK6"	Calcium-dependent protein kinase family protein
Sobic.006G052500	0.914325412	AT5G65750.1		"2-oxoglutarate dehydrogenase, E1 component"
Sobic.001G298900	0.91430049	AT4G17330.1	"ATG2484-1,G2484-1"	G2484-1 protein
Sobic.001G195700	0.914261099	AT2G46080.1		
Sobic.005G207500	0.914164319	AT1G02890.1		AAA-type ATPase family protein
Sobic.005G207500	0.914164319	AT4G02480.1		AAA-type ATPase family protein
Sobic.006G126900	0.914160051	AT1G10390.2		Nucleoporin autopeptidase
Sobic.001G370900	0.914065359	AT3G57300.1	"ATINO80,INO80"	INO80 ortholog
Sobic.003G345400	0.914057433	AT3G55960.1		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Sobic.009G028300	0.914044409	AT5G01380.1		Homeodomain-like superfamily protein
Sobic.010G169600	0.913938557	AT2G03150.1	emb1579	ATP/GTP-binding protein family
Sobic.004G158300	0.913809822	AT2G33550.1		Homeodomain-like superfamily protein
Sobic.001G277900	0.91378464	AT3G58050.1		
Sobic.003G313400	0.913743551	AT1G08800.1		"Protein of unknown function, DUF593"
Sobic.006G038000	0.91373141	AT5G37590.1		Tetratricopeptide repeat (TPR)-like superfamily protein
Sobic.003G011800	0.913718448	AT3G61530.2	PANB2	Phosphoenolpyruvate carboxylase family protein
Sobic.001G016900	0.913601513	AT3G03340.1	UNE6	LUC7 related protein
Sobic.004G156500	0.913567748	AT5G03780.1	TRFL10	TRF-like 10
Sobic.007G177300	0.913503332	AT3G54630.1		
Sobic.001G323000	0.913419607	AT4G10790.1		UBX domain-containing protein
Sobic.004G027800	0.913286583	AT5G45300.2	"BAM8,BMY2"	beta-amylase 2
Sobic.001G107900	0.913189921	AT5G58040.1	"ATFIP1[V],ATFIPS5,FIP1[V],FIPS5"	homolog of yeast FIP1 [V]
Sobic.004G257400	0.913126997	AT5G56190.2		Transducin/WD40 repeat-like superfamily protein
Sobic.006G032400	0.913026935	AT1G32810.2		RING/FYVE/PHD zinc finger superfamily protein
Sobic.004G178000	0.912880897	AT1G59940.1	ARR3	response regulator 3
Sobic.004G057400	0.912744078	AT5G44790.1	"HMA7,RAN1"	copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1)
Sobic.010G065300	0.912611646	AT2G25170.1	"CHD3,CHR6,GYM,PKL,SSL2"	chromatin remodeling factor CHD3 (PICKLE)
Sobic.007G016900	0.912414698	AT3G44060.1		F-box/RNI-like superfamily protein
Sobic.010G082700	0.912404514	AT2G15695.1		"Protein of unknown function DUF829, transmembrane 53"
Sobic.001G028400	0.912240494	AT3G05940.1		Protein of unknown function (DUF300)
Sobic.006G065800	0.912217834	AT3G10030.1		aspartate/glutamate/uridylate kinase family protein
Sobic.003G297900	0.91218194	AT5G46020.1		
Sobic.010G218000	0.912016037	AT4G29950.1		Ypt/Rab-GAP domain of gyp1p superfamily protein
Sobic.008G169800	0.911789225	AT4G21060.2		Galactosyltransferase family protein
Sobic.002G262700	0.911522876	AT2G43370.1		RNA-binding (RRM/RBD/RNP motifs) family protein
Sobic.009G185700	0.911239503	AT3G20475.1	"ATMSH5,MSH5"	MUTS-homologue 5
Sobic.004G231900	0.911230387	AT1G77680.1		Ribonuclease II/R family protein
Sobic.010G092300	0.911003397	AT5G61910.3		DCD (Development and Cell Death) domain protein
Sobic.005G079800	0.911002099	AT5G62090.2	SLK2	SEUSS-like 2
Sobic.004G030100	0.910876818	AT1G70570.1		"anthranilate phosphoribosyltransferase, putative"
Sobic.009G214300	0.910857992	AT5G56980.1		
Sobic.004G004200	0.910836877	AT5G47490.1		RGPR-related
Sobic.007G000100	0.910784982	AT5G23150.1	HUA2	Tudor/PWWP/MBT domain-containing protein
Sobic.009G256400	0.910779937	AT3G54280.1	"ATBTAF1,BTAF1,CHA16,CHR16,RGD3"	DNA binding;ATP binding;nucleic acid binding;binding;helicases;ATP binding;DNA binding;helicases
Sobic.008G088300	0.910189807	AT4G22180.1		F-box family protein with a domain of unknown function (DUF295)
Sobic.004G174200	0.910142753	AT1G32490.1	"EMB2733,ESP3"	RNA helicase family protein
Sobic.007G130800	0.909978739	AT1G74920.1	ALDH10A8	aldehyde dehydrogenase 10A8
Sobic.007G130800	0.909978739	AT3G48170.1	ALDH10A9	aldehyde dehydrogenase 10A9
Sobic.004G264300	0.909937022	AT1G67230.1	LINC1	little nuclei1
Sobic.008G048300	0.909930573	AT5G09850.1		Transcription elongation factor (TFIIS) family protein
Sobic.002G301000	0.909915852	AT2G17730.1	NIP2	NEP-interacting protein 2
Sobic.003G062300	0.909910239	AT5G05660.1	ATNFXL2	sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors
Sobic.003G387800	0.909865593	AT3G59780.1		Rhodanese/Cell cycle control phosphatase superfamily protein
Sobic.005G023900	0.909417773	AT2G40980.1		Protein kinase superfamily protein
Sobic.004G302600	0.909340843	AT5G45190.1		Cyclin family protein
Sobic.009G088000	0.909330073	AT5G11390.1	WIT1	WPP domain-interacting protein 1
Sobic.006G247100	0.909250855	AT4G30190.1	"AHA2,HA2,PMA2"	H(+)-ATPase 2
Sobic.003G144300	0.908936347	AT1G35220.1		
Sobic.002G193100	0.908917971	AT1G70160.1		
Sobic.009G207000	0.908833029	AT2G20120.1	COV1	Protein of unknown function (DUF502)
Sobic.004G293100	0.90881586	AT4G22550.1		Phosphatidic acid phosphatase (PAP2) family protein
Sobic.006G223300	0.908791644	AT4G04890.1	PDF2	protodermal factor 2
Sobic.006G105400	0.908669488	AT2G14680.1	MEE13	myosin heavy chain-related
Sobic.008G039600	0.908551527	AT5G03940.1	"54CP,CPSRP54,FFC,SRP54CP"	chloroplast signal recognition particle 54 kDa subunit
Sobic.003G043300	0.908502992	AT2G25670.1		
Sobic.003G206700	0.908383151	AT3G24450.1		Heavy metal transport/detoxification superfamily protein 
Sobic.004G031700	0.908313513	AT4G10930.1		
Sobic.003G311500	0.908266501	AT2G28380.1	DRB2	dsRNA-binding protein 2
Sobic.002G189700	0.908206824	AT5G62890.2		Xanthine/uracil permease family protein
Sobic.004G077600	0.908199013	AT2G33610.1	"ATSWI3B,CHB2,SWI3B"	switch subunit 3
Sobic.005G110541	0.908139425	AT5G53850.2		haloacid dehalogenase-like hydrolase family protein
Sobic.009G205200	0.908027668	AT5G52880.1		F-box family protein
Sobic.002G313400	0.908000668	AT5G13010.1	EMB3011	RNA helicase family protein
Sobic.002G215600	0.907833699	AT3G43930.1		BRCT domain-containing DNA repair protein
Sobic.004G353000	0.907778024	AT1G64550.1	"ATGCN3,GCN3"	general control non-repressible 3
Sobic.006G036100	0.907661941	AT5G51340.1		Tetratricopeptide repeat (TPR)-like superfamily protein
Sobic.009G193400	0.907604595	AT4G14350.3		"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"
Sobic.004G051300	0.90747683	AT1G05170.2		Galactosyltransferase family protein
Sobic.002G283300	0.907462456	AT4G35780.1		ACT-like protein tyrosine kinase family protein
Sobic.001G446300	0.907448205	AT1G12530.1		
Sobic.003G050600	0.907383976	AT3G15770.2		
Sobic.003G050600	0.907383976	AT3G15770.1		
Sobic.002G338100	0.907095844	AT2G20890.1	"PSB29,THF1"	photosystem II reaction center PSB29 protein
Sobic.001G408700	0.906944864	AT4G14145.1		
Sobic.003G214600	0.906818445	AT4G32551.2	"LUG,RON2"	LisH dimerisation motif;WD40/YVTN repeat-like-containing domain
Sobic.010G098800	0.906683525	ATMG00270.1		NADH dehydrogenase 6
Sobic.010G065400	0.906661903	AT5G58020.1		
Sobic.002G043600	0.906495539	AT5G52520.1	"OVA6,PRORS1"	Class II aaRS and biotin synthetases superfamily protein
Sobic.002G276700	0.906487936	AT1G29760.1		Putative adipose-regulatory protein (Seipin)
Sobic.001G098000	0.90621301	AT5G58730.1		pfkB-like carbohydrate kinase family protein
Sobic.004G134200	0.906139054	AT5G46070.1		Guanylate-binding family protein
Sobic.008G167200	0.906131665	AT4G11460.1	CRK30	cysteine-rich RLK (RECEPTOR-like protein kinase) 30
Sobic.001G032200	0.906068328	AT5G59250.1		Major facilitator superfamily protein
Sobic.009G001500	0.905956155	AT5G13120.1	"ATCYP20-2,CYP20-2"	cyclophilin 20-2
Sobic.007G098500	0.90592637	AT3G02260.1	"ASA1,BIG,CRM1,DOC1,LPR1,TIR3,UMB1"	auxin transport protein (BIG)
Sobic.001G096000	0.905803356	AT1G56290.1		CwfJ-like family protein
Sobic.001G475000	0.905764502			
Sobic.002G034600	0.905724899	AT1G17210.1	"ATILP1,ILP1"	IAP-like protein 1
Sobic.001G405300	0.905661412	AT1G07110.1	"ATF2KP,F2KP,FKFBP"	"fructose-2,6-bisphosphatase"
Sobic.002G148400	0.905632574	AT1G05830.1	"ATX2,SDG30"	trithorax-like protein 2
Sobic.003G416600	0.905386734	AT5G48970.1		Mitochondrial substrate carrier family protein
Sobic.001G204100	0.905319737	AT1G07210.1		Ribosomal protein S18
Sobic.001G204100	0.905319737			
Sobic.006G131000	0.90529022	AT2G31510.1	"ARI7,ATARI7"	IBR domain-containing protein
Sobic.006G131000	0.90529022	AT1G65430.1	"ARI8,ATARI8"	IBR domain-containing protein
Sobic.009G138800	0.905208823	AT5G41770.1		"crooked neck protein, putative / cell cycle protein, putative"
Sobic.002G340100	0.905143117	AT5G54310.1	"AGD5,NEV"	ARF-GAP domain 5
Sobic.003G170700	0.905108702	AT2G48060.1		
Sobic.002G045600	0.905105767	AT5G62090.2	SLK2	SEUSS-like 2
Sobic.010G260500	0.905063509	AT2G16860.1		GCIP-interacting family protein
Sobic.004G326400	0.904954224	AT5G57740.1	XBAT32	XB3 ortholog 2 in Arabidopsis thaliana
Sobic.010G213500	0.904838697	AT2G24640.1	UBP19	ubiquitin-specific protease 19
Sobic.002G072400	0.904807219	AT3G04870.2	"PDE181,SPC1,ZDS"	zeta-carotene desaturase
Sobic.006G258500	0.904671738	AT2G03890.1	"ATPI4K GAMMA 7,PI4K GAMMA 7,UBDK GAMMA 7"	phosphoinositide 4-kinase gamma 7
